layer,mAP50:95,mAP50,mAP75,mAP50:95-l,mAP50:95-m,mAP50:95-s,mAR50:95-1,mAR50:95-10,mAR50:95-100,mAR50:95-l,mAR50:95-m,mAR50:95-s
hm.2,0.28329,0.41054,0.30705,0.44086,0.33692,0.10024,0.29289,0.47815,0.50793,0.7252,0.54896,0.27269
wh.0,0.33998,0.53336,0.36306,0.50975,0.37149,0.14412,0.29317,0.47068,0.49404,0.70677,0.53873,0.25875
wh.2,0.35152,0.53308,0.37307,0.53319,0.38751,0.14438,0.30286,0.48738,0.51198,0.7409,0.5638,0.26252
ida_up.up_2,0.34587,0.52823,0.37422,0.51312,0.37558,0.15382,0.30003,0.48231,0.50737,0.70989,0.54847,0.27673
dla_up.ida_0.proj_1.deformconv2d,0.34994,0.52069,0.37534,0.50621,0.38353,0.15802,0.30665,0.49327,0.51816,0.72662,0.56136,0.28172
ida_up.node_2.deformconv2d,0.35192,0.53391,0.37783,0.51695,0.38642,0.15576,0.30364,0.48709,0.51286,0.72193,0.55756,0.27966
dla_up.ida_0.proj_1.conv_offset_mask,0.35572,0.53078,0.38112,0.52315,0.38714,0.15605,0.30727,0.49721,0.52226,0.726,0.56906,0.28786
ida_up.node_1.deformconv2d,0.3596,0.5414,0.38376,0.52811,0.39388,0.16115,0.30688,0.49536,0.52161,0.73775,0.56506,0.28763
dla_up.ida_0.node_1.deformconv2d,0.35964,0.53477,0.38488,0.52651,0.39143,0.16082,0.30737,0.50092,0.52642,0.73442,0.57163,0.29478
hm.0,0.35881,0.53223,0.38514,0.52824,0.39511,0.15939,0.31024,0.49894,0.52705,0.74747,0.5667,0.28843
dla_up.ida_0.up_1,0.36243,0.53826,0.38817,0.52868,0.39672,0.16292,0.3086,0.50279,0.52851,0.73796,0.57473,0.296
dla_up.ida_1.node_2.deformconv2d,0.36343,0.54275,0.38894,0.53312,0.39517,0.16525,0.31083,0.50192,0.5283,0.74012,0.57109,0.29575
base.level0.0,0.36245,0.5388,0.38919,0.53247,0.39713,0.16529,0.30858,0.50066,0.52636,0.73589,0.57029,0.29537
ida_up.node_2.conv_offset_mask,0.36523,0.54335,0.39017,0.53568,0.39895,0.1641,0.31218,0.50318,0.52971,0.7441,0.57335,0.29365
dla_up.ida_2.node_3.deformconv2d,0.36564,0.54336,0.3903,0.53758,0.39859,0.16566,0.31106,0.50364,0.52981,0.74464,0.57367,0.29589
base.level4.tree2.root.conv,0.36544,0.54278,0.39036,0.53614,0.39819,0.16589,0.31107,0.50313,0.52975,0.74339,0.57154,0.29697
dla_up.ida_1.node_1.conv_offset_mask,0.36562,0.54331,0.39041,0.53697,0.39802,0.16539,0.31134,0.50382,0.52998,0.74519,0.57308,0.29479
dla_up.ida_2.up_3,0.36575,0.54295,0.39047,0.53776,0.39881,0.16394,0.31139,0.50436,0.53056,0.74671,0.57453,0.29454
ida_up.up_1,0.36527,0.54258,0.39049,0.53659,0.39873,0.16535,0.31207,0.50325,0.52961,0.74378,0.5732,0.29482
base.level3.tree2.root.conv,0.36577,0.54335,0.39053,0.5364,0.39838,0.16672,0.31205,0.50421,0.53062,0.74437,0.57382,0.29724
dla_up.ida_1.node_2.conv_offset_mask,0.36544,0.54276,0.39054,0.53795,0.39756,0.16589,0.31094,0.50393,0.52992,0.74464,0.57263,0.29609
base.base_layer.0,0.36589,0.54329,0.39058,0.53793,0.39827,0.16599,0.31096,0.5043,0.53065,0.7458,0.5737,0.29624
ida_up.node_1.conv_offset_mask,0.3651,0.5429,0.39061,0.5363,0.39778,0.16513,0.31124,0.50257,0.5293,0.74304,0.57376,0.29469
dla_up.ida_1.proj_2.conv_offset_mask,0.36586,0.54353,0.39072,0.53752,0.39862,0.16553,0.31114,0.50388,0.53019,0.74496,0.57353,0.29629
base.level1.0,0.3653,0.54441,0.39073,0.53435,0.3979,0.16592,0.31223,0.50267,0.52873,0.73962,0.57451,0.29305
dla_up.ida_1.node_1.deformconv2d,0.36602,0.54316,0.39076,0.53726,0.39871,0.16576,0.31144,0.50411,0.53015,0.74465,0.57348,0.29621
ida_up.proj_1.conv_offset_mask,0.36573,0.54302,0.39079,0.53755,0.39905,0.16491,0.31136,0.50413,0.53031,0.74445,0.5743,0.29604
base.level4.tree1.project.0,0.3658,0.5431,0.39083,0.53745,0.39881,0.16527,0.31166,0.50459,0.53062,0.74526,0.57415,0.29631
base.level3.tree2.tree1.conv1,0.36595,0.54343,0.39088,0.53748,0.3988,0.16545,0.31163,0.50429,0.53044,0.7445,0.57398,0.29615
base.level4.tree2.tree1.conv1,0.36603,0.54372,0.39089,0.53765,0.39911,0.16535,0.31114,0.50411,0.53032,0.74376,0.57415,0.29635
base.level2.tree1.conv1,0.36589,0.54368,0.39095,0.53775,0.39882,0.16545,0.31148,0.50467,0.53088,0.74708,0.57488,0.29542
base.level3.tree2.tree2.conv1,0.36594,0.54359,0.39097,0.53735,0.39886,0.16524,0.31129,0.50429,0.53029,0.74451,0.57353,0.29639
base.level2.tree2.conv1,0.36592,0.54386,0.39099,0.53649,0.39873,0.16625,0.3116,0.50426,0.53055,0.74429,0.57406,0.2966
ida_up.proj_2.deformconv2d,0.36563,0.5429,0.39104,0.53667,0.39845,0.16546,0.31166,0.50413,0.53047,0.74358,0.57384,0.29541
base.level3.tree1.tree2.conv1,0.36588,0.54312,0.39105,0.53728,0.39903,0.16515,0.31155,0.50427,0.53046,0.74498,0.57425,0.29667
dla_up.ida_2.up_1,0.36595,0.54295,0.39106,0.53755,0.39858,0.1657,0.31139,0.50426,0.53052,0.74538,0.57376,0.29583
dla_up.ida_2.up_2,0.36577,0.5434,0.39108,0.5371,0.39907,0.16446,0.31152,0.50405,0.53012,0.74428,0.57391,0.29407
base.level4.tree1.root.conv,0.36589,0.54385,0.39109,0.53747,0.39859,0.16588,0.31107,0.50429,0.53064,0.74518,0.57442,0.29636
base.level5.tree1.conv1,0.36596,0.54358,0.3911,0.53752,0.39849,0.16608,0.31136,0.50437,0.53053,0.7449,0.5742,0.29648
dla_up.ida_2.node_2.deformconv2d,0.36551,0.54293,0.39111,0.53747,0.39918,0.16371,0.31092,0.50359,0.52994,0.74524,0.57355,0.2964
dla_up.ida_1.proj_1.conv_offset_mask,0.36601,0.54348,0.39111,0.53759,0.3991,0.16581,0.31144,0.50444,0.53067,0.74525,0.57451,0.29656
base.level5.root.conv,0.36536,0.54289,0.39112,0.53719,0.39876,0.1638,0.31043,0.50427,0.53039,0.73992,0.57448,0.29728
dla_up.ida_2.proj_3.conv_offset_mask,0.36584,0.54301,0.39115,0.53768,0.39877,0.16561,0.3118,0.50461,0.53061,0.74541,0.57444,0.29562
ida_up.proj_1.deformconv2d,0.36531,0.54309,0.39122,0.53673,0.39805,0.16509,0.31116,0.50337,0.52967,0.74446,0.57266,0.2957
base.level2.tree2.conv2,0.36599,0.54342,0.39126,0.53748,0.39846,0.16564,0.31172,0.50428,0.53059,0.74483,0.5741,0.29662
ida_up.proj_2.conv_offset_mask,0.3658,0.5433,0.39127,0.53711,0.39887,0.16524,0.31158,0.50422,0.5303,0.74461,0.57423,0.29551
dla_up.ida_1.proj_2.deformconv2d,0.36543,0.54299,0.39135,0.53641,0.39881,0.16518,0.31152,0.50395,0.53014,0.74478,0.57425,0.29615
base.level2.tree1.conv2,0.36604,0.54349,0.39135,0.53747,0.39899,0.16491,0.31138,0.50415,0.53046,0.74512,0.57351,0.29707
dla_up.ida_2.proj_1.deformconv2d,0.36606,0.54346,0.39142,0.5376,0.3989,0.16607,0.31151,0.50459,0.53092,0.74501,0.5745,0.29681
dla_up.ida_1.up_2,0.36571,0.54298,0.39144,0.53726,0.39812,0.16512,0.31132,0.50377,0.53017,0.74347,0.5739,0.29608
dla_up.ida_0.node_1.conv_offset_mask,0.3657,0.54286,0.39149,0.53587,0.39844,0.1649,0.31147,0.50322,0.52997,0.74902,0.57131,0.29686
dla_up.ida_2.node_3.conv_offset_mask,0.36581,0.54321,0.39155,0.53732,0.39883,0.16491,0.31171,0.50419,0.53043,0.74351,0.57447,0.29537
dla_up.ida_2.proj_3.deformconv2d,0.36591,0.54331,0.39159,0.53716,0.39904,0.16483,0.31152,0.50452,0.5306,0.74375,0.57481,0.29594
base.level4.tree1.tree1.conv1,0.36578,0.54352,0.39159,0.53665,0.39921,0.16573,0.31157,0.50443,0.53067,0.74481,0.57487,0.29629
reg.0,0.3658,0.54312,0.3916,0.5375,0.3989,0.16468,0.31137,0.50389,0.53021,0.74437,0.57434,0.2945
base.level4.tree1.tree1.conv2,0.36599,0.54355,0.39163,0.53761,0.39899,0.16576,0.31184,0.50434,0.53054,0.74415,0.57426,0.2964
base.level3.tree2.tree2.conv2,0.36605,0.54359,0.39163,0.53757,0.39925,0.16569,0.31168,0.50456,0.53087,0.74488,0.57492,0.29614
dla_up.ida_2.node_2.conv_offset_mask,0.36594,0.54385,0.39167,0.53683,0.39921,0.16592,0.31175,0.50441,0.53079,0.74465,0.57455,0.29604
dla_up.ida_1.up_1,0.36562,0.54333,0.39169,0.53727,0.39864,0.16574,0.31124,0.50392,0.53007,0.74389,0.57411,0.29634
dla_up.ida_2.node_1.conv_offset_mask,0.36587,0.5434,0.39172,0.53753,0.39873,0.16478,0.31172,0.50429,0.53061,0.74475,0.57416,0.29539
base.level3.tree2.tree1.conv2,0.366,0.54345,0.39182,0.53749,0.39905,0.16517,0.31192,0.50463,0.53074,0.74503,0.57467,0.29627
base.level4.tree2.tree2.conv2,0.36602,0.54341,0.39187,0.53752,0.39922,0.16538,0.31163,0.50447,0.53066,0.74508,0.57464,0.29617
base.level4.tree2.tree1.conv2,0.36596,0.54366,0.39187,0.53741,0.39882,0.16575,0.31141,0.5044,0.53049,0.74423,0.57423,0.29608
base.level3.tree1.tree1.conv1,0.36593,0.54358,0.3919,0.5371,0.39873,0.1652,0.31157,0.50465,0.53077,0.74484,0.57444,0.29682
dla_up.ida_2.proj_1.conv_offset_mask,0.36596,0.54327,0.39191,0.53759,0.39891,0.16538,0.31181,0.50441,0.53061,0.74541,0.57439,0.29617
reg.2,0.366,0.54353,0.39192,0.53757,0.39915,0.16544,0.31158,0.50447,0.53074,0.74503,0.57458,0.29626
base.level3.tree1.root.conv,0.36623,0.54374,0.39193,0.53685,0.39915,0.16528,0.31194,0.50485,0.53126,0.74395,0.57469,0.29673
base.level2.project.0,0.36592,0.54354,0.39194,0.53773,0.39847,0.16555,0.31167,0.50426,0.53036,0.7456,0.57301,0.29634
base.level4.tree1.tree2.conv1,0.36607,0.54365,0.39195,0.53751,0.39926,0.16536,0.31153,0.5046,0.53064,0.74568,0.57459,0.29636
