,rmse,outlier,std,mAP50,mAP5095
model.backbone.conv_encoder.model.embedder.embedder.convolution,0.005682654279683318,0.0,1.2258527109099489,0.58,0.385
model.backbone.conv_encoder.model.encoder.stages.0.layers.0.shortcut.convolution,0.008276621589348429,0.019259416953125,0.3029792163992999,0.01,0.004
model.backbone.conv_encoder.model.encoder.stages.0.layers.0.layer.0.convolution,0.006760966675799517,0.019259416953125,0.3029792163992999,0.054,0.027
model.backbone.conv_encoder.model.encoder.stages.0.layers.0.layer.1.convolution,0.003086050983429665,0.02373632484375,0.13703908037691992,0.463,0.3
model.backbone.conv_encoder.model.encoder.stages.0.layers.0.layer.2.convolution,0.003120770256611563,0.012878555234375,0.18076703706605265,0.341,0.21
model.backbone.conv_encoder.model.encoder.stages.0.layers.1.layer.0.convolution,0.004164397273035277,0.00991853494140625,0.14398583288218916,0.524,0.342
model.backbone.conv_encoder.model.encoder.stages.0.layers.1.layer.1.convolution,0.004095657772961117,0.02090161484375,0.11517215308816335,0.501,0.324
model.backbone.conv_encoder.model.encoder.stages.0.layers.1.layer.2.convolution,0.003482725038858397,0.015826224375,0.11991378928599,0.548,0.363
model.backbone.conv_encoder.model.encoder.stages.0.layers.2.layer.0.convolution,0.005915801151699963,0.00939065296875,0.1555134684033442,0.542,0.356
model.backbone.conv_encoder.model.encoder.stages.0.layers.2.layer.1.convolution,0.0045068830783878055,0.015863728515625,0.09764775825675887,0.531,0.351
model.backbone.conv_encoder.model.encoder.stages.0.layers.2.layer.2.convolution,0.004589822742023638,0.02290122765625,0.10502098299718093,0.462,0.3
model.backbone.conv_encoder.model.encoder.stages.1.layers.0.shortcut.convolution,0.005298160504372347,0.00963918501953125,0.16244978296024803,0.355,0.225
model.backbone.conv_encoder.model.encoder.stages.1.layers.0.layer.0.convolution,0.006636118294582481,0.00963918501953125,0.16244978296024803,0.319,0.197
model.backbone.conv_encoder.model.encoder.stages.1.layers.0.layer.1.convolution,0.004446522975783972,0.0244594769140625,0.08874365402222772,0.472,0.305
model.backbone.conv_encoder.model.encoder.stages.1.layers.0.layer.2.convolution,0.003814205638177338,0.016098655,0.11376946109937139,0.429,0.279
model.backbone.conv_encoder.model.encoder.stages.1.layers.1.layer.0.convolution,0.0019484553652416383,0.021984671953125,0.15100129931146683,0.568,0.375
model.backbone.conv_encoder.model.encoder.stages.1.layers.1.layer.1.convolution,0.0023902258613989467,0.0181748909375,0.09570455469647614,0.313,0.193
model.backbone.conv_encoder.model.encoder.stages.1.layers.1.layer.2.convolution,0.0029157251230485385,0.0171091790625,0.09197793529483134,0.467,0.307
model.backbone.conv_encoder.model.encoder.stages.1.layers.2.layer.0.convolution,0.0041210645854118325,0.0189689740625,0.13660082322349215,0.556,0.367
model.backbone.conv_encoder.model.encoder.stages.1.layers.2.layer.1.convolution,0.003381031931244901,0.018049089375,0.09073645988455495,0.581,0.385
model.backbone.conv_encoder.model.encoder.stages.1.layers.2.layer.2.convolution,0.003059791267982551,0.013397670625,0.0956552423395503,0.517,0.34
model.backbone.conv_encoder.model.encoder.stages.1.layers.3.layer.0.convolution,0.004208891807744901,0.0237408537890625,0.13175014846495545,0.546,0.357
model.backbone.conv_encoder.model.encoder.stages.1.layers.3.layer.1.convolution,0.004622290265702066,0.0181784234375,0.07902300848750245,0.497,0.322
model.backbone.conv_encoder.model.encoder.stages.1.layers.3.layer.2.convolution,0.003654193842694873,0.02058935203125,0.09514328971298386,0.386,0.249
model.backbone.conv_encoder.model.encoder.stages.2.layers.0.shortcut.convolution,0.0035447237813579185,0.025419170390625,0.12743386155353104,0.537,0.352
model.backbone.conv_encoder.model.encoder.stages.2.layers.0.layer.0.convolution,0.006159598296064706,0.025419170390625,0.12743386155353104,0.418,0.269
model.backbone.conv_encoder.model.encoder.stages.2.layers.0.layer.1.convolution,0.003759953858596938,0.02397546390625,0.07417097021433952,0.46,0.289
model.backbone.conv_encoder.model.encoder.stages.2.layers.0.layer.2.convolution,0.0045789663147713456,0.0145783034375,0.09527874668684942,0.164,0.093
model.backbone.conv_encoder.model.encoder.stages.2.layers.1.layer.0.convolution,0.0037504751789605335,0.0228737515625,0.11349332202789239,0.536,0.348
model.backbone.conv_encoder.model.encoder.stages.2.layers.1.layer.1.convolution,0.0035190788829433067,0.019331615625,0.07607316877564337,0.011,0.004
model.backbone.conv_encoder.model.encoder.stages.2.layers.1.layer.2.convolution,0.0031866467934811397,0.022272666875,0.08635535387479466,0.347,0.215
model.backbone.conv_encoder.model.encoder.stages.2.layers.2.layer.0.convolution,0.004141239671125298,0.025313978828125,0.10632457201895887,0.553,0.36
model.backbone.conv_encoder.model.encoder.stages.2.layers.2.layer.1.convolution,0.0034411167725920677,0.0235319925,0.06280293146505145,0.483,0.296
model.backbone.conv_encoder.model.encoder.stages.2.layers.2.layer.2.convolution,0.002554360023211865,0.02184615,0.07129869002351401,0.511,0.328
model.backbone.conv_encoder.model.encoder.stages.2.layers.3.layer.0.convolution,0.004741810417423646,0.025014709453125,0.10585913363293771,0.549,0.359
model.backbone.conv_encoder.model.encoder.stages.2.layers.3.layer.1.convolution,0.0038392499333158845,0.0243237721875,0.06064862235038167,0.522,0.332
model.backbone.conv_encoder.model.encoder.stages.2.layers.3.layer.2.convolution,0.0029980913137218784,0.02310089625,0.06891516182994503,0.515,0.333
model.backbone.conv_encoder.model.encoder.stages.2.layers.4.layer.0.convolution,0.005118738460753646,0.0236878675,0.10429954197997256,0.547,0.356
model.backbone.conv_encoder.model.encoder.stages.2.layers.4.layer.1.convolution,0.004649587574281863,0.0236433453125,0.05903159675874281,0.581,0.385
model.backbone.conv_encoder.model.encoder.stages.2.layers.4.layer.2.convolution,0.004227143468423968,0.021045565,0.06795999744228304,0.548,0.356
model.backbone.conv_encoder.model.encoder.stages.2.layers.5.layer.0.convolution,0.006490934085810468,0.0240856240625,0.10183795942137391,0.555,0.364
model.backbone.conv_encoder.model.encoder.stages.2.layers.5.layer.1.convolution,0.0057586814897755785,0.0234675575,0.06200905659713845,0.527,0.337
model.backbone.conv_encoder.model.encoder.stages.2.layers.5.layer.2.convolution,0.004634603015368893,0.025652216875,0.0785608937429601,0.509,0.327
model.backbone.conv_encoder.model.encoder.stages.3.layers.0.shortcut.convolution,0.015303964238791238,0.022089034765625,0.08987661973810912,0.565,0.361
model.backbone.conv_encoder.model.encoder.stages.3.layers.0.layer.0.convolution,0.008088293884481703,0.022089034765625,0.08987661973810912,0.525,0.344
